"","model","periods","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"104","baseline_last_val","Lockdown 2",28,0,-0.714285714285714,NA,48627.0825171826,Inf,48627.0825171826,4121741208.47956
"105","baseline_last_val","Lockdown 2 
easing",7,0,-1,NA,41118.0738000177,Inf,41118.0738000177,2247176915.03084
"106","baseline_last_val","Lockdown 2 
easing",14,0,-0.714285714285714,NA,63041.3442814362,Inf,63041.3442814362,5303064709.37228
"107","baseline_last_val","Lockdown 2 
easing",21,0,-0.428571428571429,NA,43107.4488099602,Inf,43107.4488099602,2139571774.43321
"108","baseline_last_val","Lockdown 2 
easing",28,0,-0.428571428571429,NA,35635.3898197941,Inf,35635.3898197941,1606824314.37825
"109","baseline_last_val","Christmas + 
Lockdown 3",7,0,0.523809523809524,NA,13141.6414097772,Inf,13141.6414097772,325732800.56058
"110","baseline_last_val","Christmas + 
Lockdown 3",14,0,0.571428571428571,NA,22535.7380017425,Inf,22535.7380017425,829208315.188769
"111","baseline_last_val","Christmas + 
Lockdown 3",21,0,0.761904761904762,NA,28039.6904395257,Inf,28039.6904395257,1369920807.16568
"112","baseline_last_val","Christmas + 
Lockdown 3",28,0,0.857142857142857,NA,36631.2862882163,Inf,36631.2862882163,2292859343.22681
"113","baseline_last_val","Lockdown 3 
easing",7,0,-0.163265306122449,NA,9810.37418559962,Inf,9810.37418559962,250448349.599401
"114","baseline_last_val","Lockdown 3 
easing",14,0,-0.102040816326531,NA,17537.6913039652,Inf,17537.6913039652,712867104.202941
"115","baseline_last_val","Lockdown 3 
easing",21,0,-0.142857142857143,NA,23602.6099570152,Inf,23602.6099570152,1215145635.44496
"116","baseline_last_val","Lockdown 3 
easing",28,0,-0.26530612244898,NA,28726.6206023678,Inf,28726.6206023678,1861989747.37323
"117","baseline_last_val","Opening Up",7,0,-0.142857142857143,NA,12869.6759643966,Inf,12869.6759643966,367048282.29453
"118","baseline_last_val","Opening Up",14,0,-0.314285714285714,NA,37513.4479973697,Inf,37513.4479973697,3441665340.35239
"119","baseline_last_val","Opening Up",21,0,-0.257142857142857,NA,71874.1879667978,Inf,71874.1879667978,15639007936.9092
"120","baseline_last_val","Opening Up",28,0,-0.428571428571429,NA,102401.458352824,Inf,102401.458352824,31302588874.3483
"121","baseline_expex_lv",NA,7,0,-0.142857142857143,NA,15350.9154755713,Inf,15350.9154755713,343348779.751675
"122","baseline_expex_lv",NA,14,0,-0.142857142857143,NA,36558.2601760134,Inf,36558.2601760134,1824428932.18317
"123","baseline_expex_lv",NA,21,0,0.428571428571429,NA,43241.052825112,Inf,43241.052825112,3344169790.69124
"124","baseline_expex_lv","Lockdown 2",7,0,0,NA,19517.538106339,Inf,19517.538106339,485870783.154949
"125","baseline_expex_lv",NA,28,0,0.428571428571429,NA,45688.9684657309,Inf,45688.9684657309,4180323558.97406
"126","baseline_expex_lv","Lockdown 2",14,0,0,NA,36166.4635090982,Inf,36166.4635090982,1630530797.95735
"127","baseline_expex_lv","Lockdown 2",21,0,-0.428571428571429,NA,49490.8378690525,Inf,49490.8378690525,3273018038.09738
"128","baseline_expex_lv","Lockdown 2",28,0,-0.428571428571429,NA,55529.5015180537,Inf,55529.5015180537,4309062266.47806
"129","baseline_expex_lv","Lockdown 2 
easing",7,0,-0.714285714285714,NA,32690.0238477175,Inf,32690.0238477175,1542697582.94719
"130","baseline_expex_lv","Lockdown 2 
easing",14,0,-0.142857142857143,NA,63004.2299961792,Inf,63004.2299961792,5437368485.99346
"131","baseline_expex_lv","Lockdown 2 
easing",21,0,0.142857142857143,NA,77970.1895393646,Inf,77970.1895393646,10880932432.3786
"132","baseline_expex_lv","Christmas + 
Lockdown 3",7,0,-0.0476190476190476,NA,16647.5616275154,Inf,16647.5616275154,836447908.785481
"133","baseline_expex_lv","Lockdown 2 
easing",28,0,0.142857142857143,NA,113556.582033568,Inf,113556.582033568,24355640788.3554
"134","baseline_expex_lv","Christmas + 
Lockdown 3",14,0,0,NA,34540.403218725,Inf,34540.403218725,3542202565.37636
"135","baseline_expex_lv","Christmas + 
Lockdown 3",21,0,0.0952380952380952,NA,49328.3326342179,Inf,49328.3326342179,8743497885.02796
"136","baseline_expex_lv","Christmas + 
Lockdown 3",28,0,0.0952380952380952,NA,70060.6313222321,Inf,70060.6313222321,21462174771.1773
"137","baseline_expex_lv","Lockdown 3 
easing",7,0,0.0408163265306122,NA,11242.7968592654,Inf,11242.7968592654,405609421.941734
"138","baseline_expex_lv","Lockdown 3 
easing",14,0,0.0612244897959184,NA,30682.3244022018,Inf,30682.3244022018,3540285025.81774
"139","baseline_expex_lv","Lockdown 3 
easing",21,0,0.0408163265306122,NA,57241.8751606883,Inf,57241.8751606883,15318009226.4411
"140","baseline_expex_lv","Lockdown 3 
easing",28,0,-0.0408163265306122,NA,99298.9212599438,Inf,99298.9212599438,58716576013.6607
"141","baseline_expex_lv","Opening Up",7,0,-0.0285714285714286,NA,18056.4730824621,Inf,18056.4730824621,1157131248.6629
"142","baseline_expex_lv","Opening Up",14,0,-0.142857142857143,NA,57548.6958936104,Inf,57548.6958936103,8530404614.13466
"143","baseline_expex_lv","Opening Up",21,0,-0.2,NA,103297.457584521,Inf,103297.457584521,27127204526.8985
"144","baseline_expex_lv","Opening Up",28,0,-0.0285714285714286,NA,151819.650529491,Inf,151819.650529491,54822834331.8183
