"","model","periods","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"105","baseline_last_val","Lockdown 3 
Schools Open",14,0,0.833333333333333,NA,824,NA,824,1062321.83333333
"106","baseline_last_val","Lockdown 3 
Schools Open",21,0,1,NA,1469.4375,Inf,1469.4375,2723066.1875
"107","baseline_last_val","Lockdown 3 
Schools Open",7,0,0.875,NA,449,Inf,449,411405.75
"108","baseline_last_val","Lockdown 3 
easing",21,0,-0.25,NA,7010.46590909091,Inf,7010.46590909091,156090361.579545
"109","baseline_last_val","Lockdown 3 
easing",28,0,-0.35,NA,7743.8625,Inf,7743.8625,149025468.5625
"110","baseline_last_val","Lockdown 3 
easing",7,0,-0.318181818181818,NA,3990.11363636364,Inf,3990.11363636364,49864046.5909091
"111","baseline_last_val","Lockdown 3 
easing",14,0,-0.375,NA,4933.425,Inf,4933.425,57682323.25
"112","baseline_last_val","Opening Up",28,0,-0.5,NA,18037.0714285714,Inf,18037.0714285714,1265578318
"113","baseline_last_val","Opening Up",14,0,-0.5,NA,6554.10416666667,Inf,6554.10416666667,90215112.4375
"114","baseline_last_val","Opening Up",21,0,-0.458333333333333,NA,12803.5,Inf,12803.5,558097365.125
"115","baseline_last_val","Opening Up",7,0,-0.45,NA,3462.25,Inf,3462.25,21351634.4
"116","baseline_expex_lv","Lockdown 2 
easing",7,0,-1,NA,3841.96355221389,Inf,3841.96355221389,20534109.7575797
"117","baseline_expex_lv","Lockdown 2 
easing",14,0,-1,NA,7972.27351630834,Inf,7972.27351630834,72691607.8679155
"118","baseline_expex_lv","Lockdown 2 
easing",21,0,-1,NA,18913.5989363532,Inf,18913.5989363532,422752115.262266
"119","baseline_expex_lv","Christmas",28,0,0.208333333333333,NA,21835.9209615877,Inf,21835.9209615877,1364749443.83451
"120","baseline_expex_lv","Christmas",14,0,0.125,NA,8909.29468541668,Inf,8909.29468541668,282025235.70607
"121","baseline_expex_lv","Christmas",21,0,0.25,NA,15986.2455017931,Inf,15986.2455017931,790192912.442354
"122","baseline_expex_lv","Christmas",7,0,0.55,NA,6384.91861428695,Inf,6384.91861428695,110739909.391408
"123","baseline_expex_lv","Lockdown 3",21,0,-0.25,NA,2144.21537321852,Inf,2144.21537321852,6157237.36870521
"124","baseline_expex_lv","Lockdown 3",7,0,-0.875,NA,809.297161470537,Inf,809.297161470537,1064058.18086828
"125","baseline_expex_lv","Lockdown 3",28,0,0.5,NA,1640.61442626067,Inf,1640.61442626067,3256882.20693761
"126","baseline_expex_lv","Lockdown 3",14,0,-1,NA,1984.16244494576,Inf,1984.16244494576,4805803.95498146
"127","baseline_expex_lv","Lockdown 3 
Schools Open",28,0,-0.5,NA,1743.11231041875,Inf,1743.11231041875,6982982.57326173
"128","baseline_expex_lv","Lockdown 3 
Schools Open",14,0,-0.333333333333333,NA,579.717630407105,Inf,579.717630407105,981463.389479694
"129","baseline_expex_lv","Lockdown 3 
Schools Open",21,0,-0.25,NA,1301.69471474491,Inf,1301.69471474491,4536852.25638395
"130","baseline_expex_lv","Lockdown 3 
Schools Open",7,0,-0.375,NA,207.940606975905,Inf,207.940606975905,96442.3643166279
"131","baseline_expex_lv","Lockdown 3 
easing",21,0,-0.227272727272727,NA,8890.76122599676,Inf,8890.76122599676,378561407.380664
"132","baseline_expex_lv","Lockdown 3 
easing",7,0,-0.295454545454545,NA,2543.50253363454,Inf,2543.50253363454,27574069.972859
"133","baseline_expex_lv","Lockdown 3 
easing",28,0,-0.3,NA,16465.0695201213,Inf,16465.0695201213,1220371958.80571
"134","baseline_expex_lv","Lockdown 3 
easing",14,0,-0.075,NA,5238.49646080455,Inf,5238.49646080455,106218489.592754
"135","baseline_expex_lv","Opening Up",28,0,-0.142857142857143,NA,24698.0035998634,Inf,24698.0035998634,1749802485.86634
"136","baseline_expex_lv","Opening Up",14,0,-0.166666666666667,NA,8709.15625406251,Inf,8709.15625406251,201522928.276657
"137","baseline_expex_lv","Opening Up",21,0,-0.291666666666667,NA,17536.5622755902,Inf,17536.5622755902,859382514.914825
"138","baseline_expex_lv","Opening Up",7,0,-0.1,NA,2917.16230477901,Inf,2917.16230477901,17368034.7468321
