"","age_group","score_type","horizon","1","4","5","6","baseline_expex_lv","baseline_last_val"
"47","50-59","ae_median",21,10877.7432758621,10585.3761551724,11223.9760862069,15223.7213448276,9298.0067350744,8479.89655172414
"48","50-59","ae_median",28,16304.6401724138,16452.2545517241,16983.8883965517,23776.2897931034,14138.9829690912,10847.7931034483
"49","60-69","crps",7,1612.33251774483,1255.30400256552,1177.47626625862,6912.71494086207,1618.0606912581,2127.20689655172
"50","60-69","crps",14,2498.64517302414,2323.19539339655,2394.83639456552,12029.1155455138,2929.49983326256,3467.06896551724
"51","60-69","crps",21,4426.16075719655,4666.48581054828,4980.0597727931,19269.3249364069,5576.10143680414,4538.06896551724
"52","60-69","crps",28,6925.75997724828,7248.73807214828,7821.20166441724,29655.8571801897,8503.31605098351,5983.34482758621
"53","60-69","ae_median",7,2325.87162068966,1727.77839655172,1562.20737931034,9248.38179310345,1618.0606912581,2127.20689655172
"54","60-69","ae_median",14,3392.34375862069,2845.87327586207,2891.71486206897,15358.4223793103,2929.49983326256,3467.06896551724
"55","60-69","ae_median",21,5764.41493103448,5472.12098275862,6096.78972413793,24363.9898103448,5576.10143680414,4538.06896551724
"56","60-69","ae_median",28,8752.95277586207,8430.1969137931,9277.76484482759,36657.3455172414,8503.31605098351,5983.34482758621
"57","70+","crps",7,1467.46697764828,1107.4978675931,1306.99475688621,1794.37240054828,1733.37059325746,1824.75862068966
"58","70+","crps",14,2694.60502507586,2373.93026369655,2913.99924042759,3473.60675666207,3771.70375185797,3353.10344827586
"59","70+","crps",21,4219.60900536207,4477.29198967931,5010.58800214138,5773.41198668966,6246.74402154944,4507.51724137931
"60","70+","crps",28,6744.32833800345,7213.73723134138,7761.72936011034,9580.53198334138,9016.92338713339,5764.72413793103
"61","70+","ae_median",7,1983.70539655172,1500.07506896552,1670.36024137931,2543.02098275862,1733.37059325746,1824.75862068966
"62","70+","ae_median",14,3621.97244827586,2840.04320689655,3603.49884482759,4751.90718965517,3771.70375185797,3353.10344827586
"63","70+","ae_median",21,5716.66456896552,5456.31562068966,5877.21506896552,7575.77155172414,6246.74402154944,4507.51724137931
"64","70+","ae_median",28,8830.53112068965,8388.44870689655,9307.23031034483,12074.4686724138,9016.92338713339,5764.72413793103
