"","type","horizon","model","periods","crps_rel","bias"
"161","Cases",21,"baseline_last_val",NA,0.582506825815744,0.25
"162","Cases",21,"baseline_expex_lv",NA,1.37043969179722,0.5
"163","Cases",28,"1",NA,3.88349237272058,1
"164","Cases",28,"4",NA,1.36757408789841,0.9925
"165","Cases",28,"5",NA,1,0.605
"166","Cases",28,"6",NA,8.00223429185568,1
"167","Cases",28,"baseline_last_val",NA,0.69633920053394,0.75
"168","Cases",28,"baseline_expex_lv",NA,1.27290719622356,0.75
"169","Cases",7,"1","Lockdown 2",0.80368175814074,0.47
"170","Cases",7,"4","Lockdown 2",0.924518437889894,0.00625
"171","Cases",7,"5","Lockdown 2",1,0
"172","Cases",7,"6","Lockdown 2",1.57027588523396,0.6525
"173","Cases",7,"baseline_last_val","Lockdown 2",0.616855031930602,0.875
"174","Cases",7,"baseline_expex_lv","Lockdown 2",1.16848969723322,0
"175","Cases",14,"1","Lockdown 2",0.708219220091446,0.24375
"176","Cases",14,"4","Lockdown 2",0.997442746177176,0
"177","Cases",14,"5","Lockdown 2",1,0
"178","Cases",14,"6","Lockdown 2",1.33329656926303,0.66375
"179","Cases",14,"baseline_last_val","Lockdown 2",0.59266296001312,0
"180","Cases",14,"baseline_expex_lv","Lockdown 2",1.11548110366601,0
"181","Cases",21,"1","Lockdown 2",0.787284809829406,0.01625
"182","Cases",21,"4","Lockdown 2",1.01566027113233,0
"183","Cases",21,"5","Lockdown 2",1,0
"184","Cases",21,"6","Lockdown 2",1.15202945045308,0.39375
"185","Cases",21,"baseline_last_val","Lockdown 2",0.654017086066598,0
"186","Cases",21,"baseline_expex_lv","Lockdown 2",1.09610368519945,0
"187","Cases",28,"1","Lockdown 2",0.822933557563351,0.03625
"188","Cases",28,"4","Lockdown 2",1.02428017421042,0
"189","Cases",28,"5","Lockdown 2",1,-0.0025
"190","Cases",28,"6","Lockdown 2",1.4190893733495,0.47875
"191","Cases",28,"baseline_last_val","Lockdown 2",0.599802988456649,-0.125
"192","Cases",28,"baseline_expex_lv","Lockdown 2",1.11474688094136,0
"193","Cases",7,"1","Lockdown 2 
easing",1.01151080836711,-0.93
"194","Cases",7,"4","Lockdown 2 
easing",1.05013132492103,-0.98
"195","Cases",7,"5","Lockdown 2 
easing",1,-0.9975
"196","Cases",7,"6","Lockdown 2 
easing",1.25995246773018,-0.965
"197","Cases",7,"baseline_last_val","Lockdown 2 
easing",1.84956060736543,-1
"198","Cases",7,"baseline_expex_lv","Lockdown 2 
easing",1.01617026490285,-1
"199","Cases",14,"1","Lockdown 2 
easing",1.05704612877218,-0.725
"200","Cases",14,"4","Lockdown 2 
easing",1.2052818396465,-0.5625
"201","Cases",14,"5","Lockdown 2 
easing",1,-0.6575
"202","Cases",14,"6","Lockdown 2 
easing",1.74965519642416,-0.935
"203","Cases",14,"baseline_last_val","Lockdown 2 
easing",2.81195206323984,-1
"204","Cases",14,"baseline_expex_lv","Lockdown 2 
easing",1.03959743518986,-0.75
"205","Cases",21,"1","Lockdown 2 
easing",1.14008019733509,-0.9075
"206","Cases",21,"4","Lockdown 2 
easing",1.15692547346057,-0.8075
"207","Cases",21,"5","Lockdown 2 
easing",1,-0.755
"208","Cases",21,"6","Lockdown 2 
easing",1.6832632590311,-0.9875
"209","Cases",21,"baseline_last_val","Lockdown 2 
easing",2.27983095979009,-1
"210","Cases",21,"baseline_expex_lv","Lockdown 2 
easing",1.03652284055798,-0.75
"211","Cases",28,"1","Lockdown 2 
easing",1.24166671007303,-0.8325
"212","Cases",28,"4","Lockdown 2 
easing",1.26066306293763,-0.6225
"213","Cases",28,"5","Lockdown 2 
easing",1,-0.5425
"214","Cases",28,"6","Lockdown 2 
easing",2.1505682352982,-0.99
"215","Cases",28,"baseline_last_val","Lockdown 2 
easing",3.08051996923503,-1
"216","Cases",28,"baseline_expex_lv","Lockdown 2 
easing",1.04925090801745,-0.5
"217","Cases",7,"1","Christmas + 
Lockdown 3",1.18180259608415,0.268333333333333
"218","Cases",7,"4","Christmas + 
Lockdown 3",1.20680427386995,0.260416666666667
"219","Cases",7,"5","Christmas + 
Lockdown 3",1,0.131666666666667
"220","Cases",7,"6","Christmas + 
Lockdown 3",2.22114889431682,0.437083333333333
"221","Cases",7,"baseline_last_val","Christmas + 
Lockdown 3",2.16662966635763,0.583333333333333
"222","Cases",7,"baseline_expex_lv","Christmas + 
Lockdown 3",1.71908281984888,0.291666666666667
"223","Cases",14,"1","Christmas + 
Lockdown 3",0.937950377513595,0.429583333333333
"224","Cases",14,"4","Christmas + 
Lockdown 3",1.15229272857743,0.40375
"225","Cases",14,"5","Christmas + 
Lockdown 3",1,0.204583333333333
"226","Cases",14,"6","Christmas + 
Lockdown 3",2.12030755418335,0.53
"227","Cases",14,"baseline_last_val","Christmas + 
Lockdown 3",1.67359888467162,0.583333333333333
"228","Cases",14,"baseline_expex_lv","Christmas + 
Lockdown 3",1.31043133821966,0.0833333333333333
"229","Cases",21,"1","Christmas + 
Lockdown 3",0.765809741666293,0.6025
"230","Cases",21,"4","Christmas + 
Lockdown 3",1.1339432180945,0.47125
"231","Cases",21,"5","Christmas + 
Lockdown 3",1,0.26375
"232","Cases",21,"6","Christmas + 
Lockdown 3",1.62592766302737,0.673333333333333
"233","Cases",21,"baseline_last_val","Christmas + 
Lockdown 3",0.85660965514243,0.583333333333333
"234","Cases",21,"baseline_expex_lv","Christmas + 
Lockdown 3",0.890697100418403,0.25
"235","Cases",28,"1","Christmas + 
Lockdown 3",0.729349400343081,0.61625
"236","Cases",28,"4","Christmas + 
Lockdown 3",1.13050666393449,0.495
"237","Cases",28,"5","Christmas + 
Lockdown 3",1,0.26125
"238","Cases",28,"6","Christmas + 
Lockdown 3",1.53511460693219,0.725833333333333
"239","Cases",28,"baseline_last_val","Christmas + 
Lockdown 3",0.572547588688687,0.708333333333333
"240","Cases",28,"baseline_expex_lv","Christmas + 
Lockdown 3",0.793359883916224,0.375
"241","Cases",7,"1","Lockdown 3 
easing",1.95912631292602,0.104285714285714
"242","Cases",7,"4","Lockdown 3 
easing",0.959021193644796,-0.143214285714286
"243","Cases",7,"5","Lockdown 3 
easing",1,-0.256071428571429
"244","Cases",7,"6","Lockdown 3 
easing",7.78851515807242,0.0919642857142857
"245","Cases",7,"baseline_last_val","Lockdown 3 
easing",1.94670162604228,-0.0714285714285714
"246","Cases",7,"baseline_expex_lv","Lockdown 3 
easing",1.23883651450202,-0.339285714285714
"247","Cases",14,"1","Lockdown 3 
easing",1.56659740790627,0.270714285714286
"248","Cases",14,"4","Lockdown 3 
easing",0.955327752326996,-0.11125
"249","Cases",14,"5","Lockdown 3 
easing",1,-0.146964285714286
"250","Cases",14,"6","Lockdown 3 
easing",4.06097421602589,0.128928571428571
"251","Cases",14,"baseline_last_val","Lockdown 3 
easing",1.21254610437652,-0.142857142857143
"252","Cases",14,"baseline_expex_lv","Lockdown 3 
easing",1.34527870570516,-0.178571428571429
"253","Cases",21,"1","Lockdown 3 
easing",1.4801633186592,0.217142857142857
"254","Cases",21,"4","Lockdown 3 
easing",0.980522633944991,-0.190714285714286
"255","Cases",21,"5","Lockdown 3 
easing",1,-0.29125
"256","Cases",21,"6","Lockdown 3 
easing",2.91010276729911,0.0276785714285714
"257","Cases",21,"baseline_last_val","Lockdown 3 
easing",1.03610743953505,-0.107142857142857
"258","Cases",21,"baseline_expex_lv","Lockdown 3 
easing",1.33419047481904,-0.267857142857143
"259","Cases",28,"1","Lockdown 3 
easing",1.24272616437825,0.228035714285714
"260","Cases",28,"4","Lockdown 3 
easing",0.957878649549666,-0.148392857142857
"261","Cases",28,"5","Lockdown 3 
easing",1,-0.273392857142857
"262","Cases",28,"6","Lockdown 3 
easing",2.17662297403214,0.07375
"263","Cases",28,"baseline_last_val","Lockdown 3 
easing",0.690672064281354,-0.160714285714286
"264","Cases",28,"baseline_expex_lv","Lockdown 3 
easing",1.32414301527041,-0.25
"265","Cases",7,"1","Opening Up",1.83006664718855,0.011
"266","Cases",7,"4","Opening Up",0.920950124526613,-0.0755
"267","Cases",7,"5","Opening Up",1,-0.0475
"268","Cases",7,"6","Opening Up",1.87949368431601,-0.00100000000000001
"269","Cases",7,"baseline_last_val","Opening Up",1.559456149267,-0.45
"270","Cases",7,"baseline_expex_lv","Opening Up",1.31393940200665,-0.1
"271","Cases",14,"1","Opening Up",1.05570949811645,0.0965
"272","Cases",14,"4","Opening Up",0.910381878132099,-0.1025
"273","Cases",14,"5","Opening Up",1,-0.032
"274","Cases",14,"6","Opening Up",1.01643941739783,0.1075
"275","Cases",14,"baseline_last_val","Opening Up",0.997273966402736,-0.45
"276","Cases",14,"baseline_expex_lv","Opening Up",1.264433584983,-0.05
"277","Cases",21,"1","Opening Up",0.951968191250464,0.0865
"278","Cases",21,"4","Opening Up",0.950719424273673,-0.3515
"279","Cases",21,"5","Opening Up",1,-0.1805
"280","Cases",21,"6","Opening Up",0.812156270320645,0.1055
"281","Cases",21,"baseline_last_val","Opening Up",0.878496729065335,-0.4
"282","Cases",21,"baseline_expex_lv","Opening Up",1.17743619261535,-0.2
"283","Cases",28,"1","Opening Up",1.00132672088641,0.1155
"284","Cases",28,"4","Opening Up",0.948014114223373,-0.2895
"285","Cases",28,"5","Opening Up",1,-0.1565
"286","Cases",28,"6","Opening Up",0.779299308592562,0.1415
"287","Cases",28,"baseline_last_val","Opening Up",0.834030885470225,-0.55
"288","Cases",28,"baseline_expex_lv","Opening Up",1.14811157330251,-0.2
