areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2022-04-19,05_09,234,1766,49.9
E92000001,England,nation,2022-04-19,10_14,371,2357,68.6
E92000001,England,nation,2022-04-19,15_19,545,3711,119.1
E92000001,England,nation,2022-04-19,20_24,1213,6945,200.0
E92000001,England,nation,2022-04-19,25_29,1543,9492,251.7
E92000001,England,nation,2022-04-19,30_34,1776,11334,296.3
E92000001,England,nation,2022-04-19,35_39,1631,10747,287.5
E92000001,England,nation,2022-04-19,40_44,1540,10108,290.8
E92000001,England,nation,2022-04-19,45_49,1533,10343,284.3
E92000001,England,nation,2022-04-19,50_54,1904,12128,313.0
E92000001,England,nation,2022-04-19,55_59,1860,12531,333.1
E92000001,England,nation,2022-04-19,60+,6160,44150,323.2
E92000001,England,nation,2022-04-19,60_64,1492,10891,340.7
E92000001,England,nation,2022-04-19,65_69,1225,8900,319.6
E92000001,England,nation,2022-04-19,70_74,1039,8110,288.2
E92000001,England,nation,2022-04-19,75_79,858,6211,309.0
E92000001,England,nation,2022-04-19,80_84,609,4145,286.0
E92000001,England,nation,2022-04-19,85_89,500,3207,362.2
E92000001,England,nation,2022-04-19,90+,437,2686,515.5
E92000001,England,nation,2022-04-19,unassigned,22,52,
E92000001,England,nation,2022-04-18,00_04,255,2042,63.0
E92000001,England,nation,2022-04-18,00_59,14619,97534,227.4
E92000001,England,nation,2022-04-18,05_09,266,1954,55.2
E92000001,England,nation,2022-04-18,10_14,407,2441,71.1
E92000001,England,nation,2022-04-18,15_19,566,3844,123.4
E92000001,England,nation,2022-04-18,20_24,1097,7155,206.0
E92000001,England,nation,2022-04-18,25_29,1516,9828,260.6
E92000001,England,nation,2022-04-18,30_34,1708,11940,312.2
E92000001,England,nation,2022-04-18,35_39,1720,11306,302.4
E92000001,England,nation,2022-04-18,40_44,1551,10580,304.3
E92000001,England,nation,2022-04-18,45_49,1664,10800,296.8
E92000001,England,nation,2022-04-18,50_54,1924,12572,324.4
E92000001,England,nation,2022-04-18,55_59,1945,13072,347.5
E92000001,England,nation,2022-04-18,60+,5887,46702,341.9
E92000001,England,nation,2022-04-18,60_64,1579,11529,360.6
E92000001,England,nation,2022-04-18,65_69,1158,9345,335.6
E92000001,England,nation,2022-04-18,70_74,1080,8632,306.7
E92000001,England,nation,2022-04-18,75_79,828,6542,325.5
E92000001,England,nation,2022-04-18,80_84,509,4410,304.3
E92000001,England,nation,2022-04-18,85_89,406,3380,381.8
